+ACI-trade+AF8-id+ACI-,+ACI-direction+ACI-,+ACI-timestamp+ACI-,+ACI-tx+AF8-hash+ACI-,+ACI-status+ACI-,+ACI-profit+ACI-,+ACI-data+AF8-file+ACI-
+ACI-uniswap+AC0-to+AC0-traderjoe+AF8-1742063661201+ACI-,+ACI-uniswap+AC0-to+AC0-traderjoe+ACI-,1742063668,+ACI-0x2c41577e6a4ba361827d353cd97d1b028a6ae77cd00424449445d70d22f1ce65+ACI-,+ACI-success+ACI-,+AC0-0.001696,+ACI-trade+AF8-data/raw+AF8-trades/uniswap+AC0-to+AC0-traderjoe+AF8-1742063661201.json+ACI-
+ACI-traderjoe+AC0-to+AC0-uniswap+AF8-1742063690537+ACI-,+ACI-traderjoe+AC0-to+AC0-uniswap+ACI-,1742063697,+ACI-0xa64df91462d8a3e1c9d89853f72899090842d59af46ce1ff216529b1606a2991+ACI-,+ACI-success+ACI-,+AC0-0.001003,+ACI-trade+AF8-data/raw+AF8-trades/traderjoe+AC0-to+AC0-uniswap+AF8-1742063690537.json+ACI-
+ACI-uniswap+AC0-to+AC0-traderjoe+AF8-1742063707675+ACI-,+ACI-uniswap+AC0-to+AC0-traderjoe+ACI-,1742063714,+ACI-0x774b80bfcc7810139e35ca8d936e67fabb3f6e207fbc600b9eb3b0f2d04e0412+ACI-,+ACI-success+ACI-,+AC0-0.000761,+ACI-trade+AF8-data/raw+AF8-trades/uniswap+AC0-to+AC0-traderjoe+AF8-1742063707675.json+ACI-
+ACI-traderjoe+AC0-to+AC0-uniswap+AF8-1742063724029+ACI-,+ACI-traderjoe+AC0-to+AC0-uniswap+ACI-,1742063730,+ACI-0x497b16be9085ef944065be4b0f476a53477a9003ae7926cfe15ff7e5664bc52c+ACI-,+ACI-success+ACI-,+AC0-0.000702,+ACI-trade+AF8-data/raw+AF8-trades/traderjoe+AC0-to+AC0-uniswap+AF8-1742063724029.json+ACI-
+ACI-uniswap+AC0-to+AC0-traderjoe+AF8-1742063740619+ACI-,+ACI-uniswap+AC0-to+AC0-traderjoe+ACI-,1742063747,+ACI-0x6e0f57c963e3b50d1a1b12e2171b06b587fdc41526b7e01eb42fef2b30640cbb+ACI-,+ACI-success+ACI-,+AC0-0.001137,+ACI-trade+AF8-data/raw+AF8-trades/uniswap+AC0-to+AC0-traderjoe+AF8-1742063740619.json+ACI-
+ACI-traderjoe+AC0-to+AC0-uniswap+AF8-1742063757260+ACI-,+ACI-traderjoe+AC0-to+AC0-uniswap+ACI-,1742063764,+ACI-0x4662c641b2b51ba91483611678a6754223751ef2a2da6d9f9fa20347c956bbae+ACI-,+ACI-success+ACI-,+AC0-0.000742,+ACI-trade+AF8-data/raw+AF8-trades/traderjoe+AC0-to+AC0-uniswap+AF8-1742063757260.json+ACI-
uniswap-to-traderjoe_1742064502486,uniswap-to-traderjoe,1742064509,0x21e67e7a948fe8e817ea2520e15b6fc7120f381f2d7c1526d1a18349080a54d6,success,-0.019232,trade_data/raw_trades/uniswap-to-traderjoe_1742064502486.json
traderjoe-to-uniswap_1742064519888,traderjoe-to-uniswap,1742064527,0xda5d489d01630a970b4c8d4d1b2b2c2bebb65290eb68d766884d1ef032d8f0f7,success,-0.007923,trade_data/raw_trades/traderjoe-to-uniswap_1742064519888.json
uniswap-to-traderjoe_1742064537828,uniswap-to-traderjoe,1742064544,0x8d717bac2d4e3d0641069318a442bd420e8b6e10318ca69036b626ba4548471e,success,-0.017974,trade_data/raw_trades/uniswap-to-traderjoe_1742064537828.json
traderjoe-to-uniswap_1742064554600,traderjoe-to-uniswap,1742064561,0x6ab3e4c35d1e8a52180825065c3dfd1fc305eb3cfb399403dc119242776f58b6,success,-0.0155,trade_data/raw_trades/traderjoe-to-uniswap_1742064554600.json
